productId,name,price,current_stock,max_capacity
1,Milk 1L,1.25,0,30
2,Bread Loaf,1.1,1,25
3,Eggs 12u,2.4,3,20
4,Rice 1kg,1.95,14,25
5,Pasta 500g,1.35,20,30
6,Olive Oil 1L,6.8,5,15
7,Sugar 1kg,1.5,11,20
8,Salt 1kg,0.85,16,20
9,Coffee 250g,3.95,7,15
10,Tea 20 bags,2.1,10,20
11,Chicken Breast 1kg,7.5,6,12
12,Ground Beef 500g,4.75,4,10
13,Salmon Fillet 500g,8.9,3,8
14,Apples 1kg,2.2,13,20
15,Bananas 1kg,1.8,15,20
16,Oranges 1kg,2.0,4,20
17,Lettuce,1.15,8,15
18,Tomatoes 1kg,2.6,6,15
19,Potatoes 2kg,2.9,10,18
20,Onions 1kg,1.4,9,18
21,Yogurt Pack 4u,2.3,11,16
22,Cheese Slices 200g,2.85,5,12
23,Butter 250g,2.15,7,12
24,Cereal 500g,3.2,8,14
25,Bottled Water 1.5L,0.7,24,40
26,Orange Juice 1L,2.45,9,18
27,Cola Soda 2L,1.95,10,20
28,Cookies 300g,1.75,12,18
29,Chocolate Bar 100g,1.2,14,25
30,Toilet Paper 12 rolls,5.5,6,12
31,Paper Towels 6 rolls,4.2,5,10
32,Dish Soap 750ml,2.95,7,14
33,Laundry Detergent 2L,7.8,4,10
34,Shampoo 400ml,3.99,6,12
35,Toothpaste 75ml,2.1,9,18
36,Hand Soap 500ml,1.85,10,20
37,Body Wash 500ml,3.5,5,12
38,Frozen Pizza,4.6,8,16
39,Ice Cream 1L,5.1,6,12
40,Frozen Peas 500g,1.95,9,15
41,Frozen Fries 1kg,2.75,7,14
42,Tuna Can 160g,1.65,15,25
43,Beans Can 400g,1.2,14,24
44,Tomato Sauce 500g,1.55,13,22
45,Mayonnaise 500ml,2.4,8,15
46,Ketchup 500ml,2.2,9,15
47,Mustard 250ml,1.8,7,12
48,Flour 1kg,1.1,11,20
49,Oats 500g,1.95,10,18
50,Honey 500g,4.9,4,10
51,Jam Strawberry 340g,2.6,8,14
52,Peanut Butter 350g,3.7,6,12
53,Crackers 250g,1.45,12,20
54,Chips 150g,1.9,13,22
55,Nuts Mix 200g,3.85,5,12
56,Raisins 250g,2.5,7,14
57,Watermelon 1u,4.2,3,8
58,Pineapple 1u,3.6,4,8
59,Grapes 500g,2.95,6,12
60,Strawberries 250g,3.1,5,10
61,Cucumber 1u,0.95,10,18
62,Carrots 1kg,1.3,12,20
63,Broccoli 500g,1.75,6,12
64,Spinach 300g,1.9,7,12
65,Mushrooms 250g,2.25,8,14
66,Zucchini 1kg,1.85,7,14
67,Red Peppers 500g,2.7,6,12
68,Garlic 250g,1.15,9,16
69,Lemons 1kg,2.1,8,15
70,Pears 1kg,2.35,7,14
71,Chicken Wings 1kg,5.9,5,10
72,Pork Chops 1kg,6.4,4,10
73,Turkey Slices 200g,2.95,7,12
74,Ham 200g,2.75,8,14
75,Sausages 500g,3.8,6,12
76,Shrimp 400g,7.2,3,8
77,Cod Fillet 500g,6.9,4,8
78,Milk Chocolate Cookies 250g,2.05,9,16
79,Vanilla Yogurt 4u,2.35,10,16
80,Mozzarella 200g,2.65,6,12
81,Parmesan 150g,3.95,4,10
82,Croissants 4u,2.2,8,14
83,Muffins 4u,2.8,7,12
84,Energy Drink 500ml,1.6,11,20
85,Sparkling Water 1L,0.95,14,24
86,Apple Juice 1L,2.3,8,15
87,Green Tea Bottle 500ml,1.45,10,18
88,Protein Bar 60g,2.1,12,20
89,Baby Diapers Pack,11.9,3,8
90,Kitchen Sponges 3u,1.25,9,16
91,Aluminum Foil 30m,2.5,6,12
92,Baking Paper 20m,2.35,5,10
93,Trash Bags 30u,3.15,7,14
94,Light Bulbs 2u,4.4,4,10
95,Pet Food 1kg,5.75,6,12
96,Cat Litter 5kg,6.25,4,10
97,Notebook A5,1.8,10,18
98,Pens Pack 5u,2.1,9,16
99,Batteries AA 4u,3.6,5,12
100,Face Tissues Box,1.55,11,20
